name,age,country,policytype,policytier,sumsssured,smokerdrinker,numdiseases,diseases,annualpremium,priceofvehicle,ageofvehicle,typeofvehicle,propertyvalue,propertyage,propertytype,propertysize,destinationcountry,tripdurationdays,existingmedicalcondition,healthcoverage,baggagecoverage,tripcancellationcoverage,accidentcoverage,trippremium
Cynthia Miller,47,India,Health,Basic,1914916,No,4,"Thyroid, Hypertension, Asthma, Heart Condition",27766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michael Nelson,26,India,Health,Basic,2253217,Yes,4,"Diabetes, Asthma, Heart Condition, Hypertension",31545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michael Smith,46,India,Health,Basic,1995601,No,2,"Heart Condition, Hypertension",28936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kenneth Schmitt,42,India,Health,Basic,1658945,Yes,1,Diabetes,24054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Garrett Roth,43,India,Health,Basic,2174422,Yes,1,Heart Condition,31529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mr. Joseph Walters,53,India,Health,Basic,2075027,Yes,1,Diabetes,31125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michael Sellers,23,India,Health,Basic,2496028,No,2,"Asthma, Diabetes",33696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crystal Eaton,18,India,Health,Basic,2081187,Yes,3,"Thyroid, Heart Condition, Asthma",29136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Carl Dyer,48,India,Health,Basic,2403889,No,3,"Heart Condition, Thyroid, Hypertension",34856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sarah Larsen,34,India,Health,Basic,2256010,No,0,None,22560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joseph Garcia,56,India,Health,Basic,1978181,Yes,1,Asthma,29672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Virginia Parker,32,India,Health,Basic,2103871,No,1,Thyroid,27350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michael Wright,22,India,Health,Basic,2024174,No,0,None,20241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
John Roberts,20,India,Health,Basic,1714816,Yes,2,"Diabetes, Heart Condition",24007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kimberly Martinez,57,India,Health,Basic,1660499,No,0,None,19095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dawn Rivas,42,India,Health,Basic,1761294,No,3,"Asthma, Heart Condition, Diabetes",25538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brandon Alexander,25,India,Health,Basic,1937812,No,0,None,19378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joshua Mullins,56,India,Health,Basic,1580489,Yes,1,Heart Condition,23707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Steven Bennett,27,India,Health,Basic,1738236,Yes,1,Hypertension,23466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kristen Taylor,27,India,Health,Basic,2012857,Yes,4,"Thyroid, Diabetes, Hypertension, Heart Condition",28179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Katherine Garcia,58,India,Health,Basic,1547998,Yes,0,None,18575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Emily Jones,28,India,Health,Basic,2441035,No,3,"Hypertension, Asthma, Heart Condition",32953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jennifer Jackson,45,India,Health,Basic,2427624,Yes,1,Asthma,35200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheryl Campbell,32,India,Health,Basic,2345360,No,2,"Diabetes, Thyroid",31662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kevin Cook,21,India,Health,Basic,1861254,No,2,"Thyroid, Hypertension",25126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luis Davis,53,India,Health,Basic,2473678,Yes,2,"Thyroid, Hypertension",38342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Friedman,48,India,Health,Basic,2484469,Yes,4,"Thyroid, Diabetes, Asthma, Hypertension",37267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jennifer Smith,45,India,Health,Basic,2048824,Yes,2,"Thyroid, Asthma",30732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Craig Owen,31,India,Health,Basic,1559201,Yes,3,"Asthma, Heart Condition, Diabetes",21828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Daniel Roberts,56,India,Health,Basic,2018214,No,4,"Asthma, Hypertension, Heart Condition, Thyroid",30273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Marissa Flores,44,India,Health,Basic,1845906,Yes,2,"Thyroid, Asthma",27688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gwendolyn Oconnor,24,India,Health,Basic,2459721,Yes,1,Thyroid,33206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Morgan Finley,27,India,Health,Basic,1588987,Yes,2,"Thyroid, Hypertension",22245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Donald Beck,40,India,Health,Basic,2043900,Yes,1,Asthma,29636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
William Campos,39,India,Health,Basic,2052766,No,1,Thyroid,26685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mr. James Sanchez,54,India,Health,Basic,2202632,No,4,"Asthma, Thyroid, Heart Condition, Hypertension",33039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joseph Brown,46,India,Health,Basic,2427823,Yes,1,Asthma,35203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Benjamin Barnett,18,India,Health,Basic,2229655,No,1,Hypertension,28985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Timothy Sanchez,54,India,Health,Basic,2413374,No,2,"Heart Condition, Diabetes",36200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
John Walton,37,India,Health,Basic,2114138,No,3,"Asthma, Thyroid, Diabetes",28540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Max Murray,45,India,Health,Basic,1627969,Yes,1,Hypertension,23605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brett Mccoy,28,India,Health,Basic,2128249,Yes,2,"Diabetes, Thyroid",29795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colleen Cook,39,India,Health,Basic,2197155,Yes,3,"Thyroid, Heart Condition, Hypertension",30760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Regina Ferrell,33,India,Health,Basic,1649385,No,3,"Diabetes, Asthma, Heart Condition",22266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tiffany Forbes,31,India,Health,Basic,1982440,No,3,"Asthma, Heart Condition, Diabetes",26762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jose Garcia,35,India,Health,Basic,2456394,No,4,"Heart Condition, Thyroid, Diabetes, Hypertension",33161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christina Vang,23,India,Health,Basic,2177865,Yes,3,"Thyroid, Diabetes, Heart Condition",30490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Julie Jones MD,49,India,Health,Basic,1512976,Yes,4,"Thyroid, Asthma, Diabetes, Heart Condition",22694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Linda Davies,22,India,Health,Basic,1791880,No,0,None,17918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrea Lewis,20,India,Health,Basic,2088756,No,4,"Heart Condition, Asthma, Thyroid, Hypertension",28198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crystal Ramirez,20,India,Health,Basic,2161144,Yes,1,Heart Condition,29175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christine Petty,41,India,Health,Basic,2248303,Yes,0,None,25855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thomas Greene,31,India,Health,Basic,1802950,No,2,"Asthma, Heart Condition",24339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brandon Glass DDS,49,India,Health,Basic,2123075,Yes,3,"Thyroid, Diabetes, Asthma",31846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Caitlin Jackson,59,India,Health,Basic,1566853,Yes,1,Thyroid,23502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
David Lam,22,India,Health,Basic,2327672,Yes,1,Thyroid,31423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jasmine Davis,48,India,Health,Basic,2082913,No,0,None,22912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melissa Key,53,India,Health,Basic,2259010,Yes,1,Thyroid,33885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Carmen Chung,59,India,Health,Basic,2217333,Yes,1,Diabetes,33259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christopher Morrison,52,India,Health,Basic,2323691,Yes,1,Hypertension,34855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mrs. Abigail Lozano,54,India,Health,Basic,2304024,Yes,2,"Thyroid, Diabetes",35712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Scott Brooks,29,India,Health,Basic,2271430,No,4,"Asthma, Hypertension, Thyroid, Diabetes",30664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brenda Valdez,43,India,Health,Basic,1879069,No,4,"Diabetes, Thyroid, Heart Condition, Asthma",27246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Carol Sutton,32,India,Health,Basic,1737016,Yes,3,"Diabetes, Hypertension, Asthma",24318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Garcia,20,India,Health,Basic,2337773,Yes,3,"Thyroid, Asthma, Heart Condition",32728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Matthew Cooper,52,India,Health,Basic,1758267,Yes,2,"Asthma, Heart Condition",27253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kathy Rogers,38,India,Health,Basic,1948546,No,4,"Thyroid, Hypertension, Asthma, Diabetes",26305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Adam Lutz,37,India,Health,Basic,2486839,Yes,4,"Heart Condition, Diabetes, Asthma, Thyroid",34815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthony Ferguson,36,India,Health,Basic,2365759,Yes,2,"Asthma, Hypertension",33120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Garcia,58,India,Health,Basic,2470755,No,3,"Asthma, Hypertension, Thyroid",37061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tara Smith,29,India,Health,Basic,2060699,Yes,1,Thyroid,27819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kenneth Burgess,44,India,Health,Basic,2061662,Yes,0,None,23709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bruce Hancock,29,India,Health,Basic,2144354,Yes,2,"Heart Condition, Hypertension",30020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jim Aguilar,23,India,Health,Basic,2132336,Yes,3,"Hypertension, Diabetes, Asthma",29852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lawrence Atkinson,25,India,Health,Basic,2145171,No,0,None,21451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chase Gardner,58,India,Health,Basic,1661813,Yes,4,"Diabetes, Thyroid, Hypertension, Asthma",25758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joseph Reynolds,31,India,Health,Basic,1643473,No,1,Asthma,21365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rodney Chaney,23,India,Health,Basic,2029744,Yes,1,Asthma,27401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Natalie Garcia,20,India,Health,Basic,1725826,Yes,0,None,18121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Margaret Brown,47,India,Health,Basic,2402644,Yes,2,"Asthma, Heart Condition",36039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Amy Macdonald,44,India,Health,Basic,2327553,No,1,Asthma,32585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Haley Green,22,India,Health,Basic,1829299,No,1,Hypertension,23780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Karen Mcdonald,32,India,Health,Basic,1794412,No,0,None,17944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nicholas Mata,28,India,Health,Basic,1552356,No,2,"Hypertension, Diabetes",20956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Roberto Kerr,52,India,Health,Basic,1766817,Yes,4,"Thyroid, Hypertension, Asthma, Heart Condition",27385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Justin Schwartz,20,India,Health,Basic,2493542,Yes,3,"Thyroid, Asthma, Diabetes",34909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ryan Harrison PhD,40,India,Health,Basic,2128412,Yes,0,None,24476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joshua Bryan,30,India,Health,Basic,2422056,No,0,None,24220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stacy Andrade,21,India,Health,Basic,2292954,No,0,None,22929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Amanda Saunders,38,India,Health,Basic,2039669,Yes,0,None,21416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kaitlyn Wilson,49,India,Health,Basic,1659204,Yes,0,None,19080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rebecca Norris,22,India,Health,Basic,1592777,No,3,"Asthma, Heart Condition, Diabetes",21502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Matthew Peterson,57,India,Health,Basic,1692374,Yes,2,"Asthma, Hypertension",26231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nathan Campbell,60,India,Health,Basic,1576476,Yes,0,None,18917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melanie Lee,23,India,Health,Basic,1932047,Yes,2,"Heart Condition, Hypertension",27048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alison Barnes,27,India,Health,Basic,1840234,Yes,0,None,19322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
James Rocha,29,India,Health,Basic,1531531,No,3,"Thyroid, Asthma, Diabetes",20675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrew Herman,56,India,Health,Basic,2317319,No,4,"Heart Condition, Hypertension, Asthma, Thyroid",34759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melissa Myers,39,India,Health,Basic,2160678,Yes,0,None,22687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
David Gordon,18,India,Health,Basic,2335508,Yes,2,"Heart Condition, Asthma",32697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rebecca Ford,56,India,Health,Basic,1658025,No,3,"Thyroid, Asthma, Hypertension",24870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michele Williams,19,India,Health,Basic,1577508,No,1,Thyroid,20507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Robert Miller,18,India,Health,Basic,2267726,Yes,3,"Hypertension, Diabetes, Thyroid",31748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stacey Long,31,India,Health,Basic,1629645,Yes,1,Thyroid,22000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alexis Riley,24,India,Health,Basic,2400948,No,2,"Hypertension, Diabetes",32412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christopher Moore,46,India,Health,Basic,2098834,Yes,1,Heart Condition,30433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Peter Miller,47,India,Health,Basic,2223225,Yes,3,"Hypertension, Diabetes, Asthma",33348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Evelyn Pierce,20,India,Health,Basic,2311560,Yes,2,"Heart Condition, Hypertension",32361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Robin Paul,51,India,Health,Basic,2061075,No,0,None,23702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrew Ashley,56,India,Health,Basic,2180490,No,1,Asthma,31617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gregory Blankenship,38,India,Health,Basic,2041344,Yes,4,"Asthma, Hypertension, Diabetes, Heart Condition",28578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beverly Brock,22,India,Health,Basic,2454757,Yes,0,None,25774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wendy Sanchez,55,India,Health,Basic,2230333,No,2,"Asthma, Hypertension",33454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
