name,age,country,policytype,policytier,sumassured,smokerdrinker,numdiseases,diseases,annualpremium,priceofvehicle,ageofvehicle,typeofvehicle,propertyvalue,propertyage,propertytype,propertysize,destinationcountry,tripdurationdays,existingmedicalcondition,healthcoverage,baggagecoverage,tripcancellationcoverage,accidentcoverage,trippremium
kimberly martinez,57,india,health,basic,1660499.0,no,0.0,nan,19095.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
dawn rivas,42,india,health,basic,1761294.0,no,3.0,"asthma, heart condition, diabetes",25538.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brandon alexander,25,india,health,basic,1937812.0,no,0.0,nan,19378.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joshua mullins,56,india,health,basic,1580489.0,yes,1.0,heart condition,23707.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
steven bennett,27,india,health,basic,1738236.0,yes,1.0,hypertension,23466.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kristen taylor,27,india,health,basic,2012857.0,yes,4.0,"thyroid, diabetes, hypertension, heart condition",28179.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
katherine garcia,58,india,health,basic,1547998.0,yes,0.0,nan,18575.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
emily jones,28,india,health,basic,2441035.0,no,3.0,"hypertension, asthma, heart condition",32953.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jennifer jackson,45,india,health,basic,2427624.0,yes,1.0,asthma,35200.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
cheryl campbell,32,india,health,basic,2345360.0,no,2.0,"diabetes, thyroid",31662.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kevin cook,21,india,health,basic,1861254.0,no,2.0,"thyroid, hypertension",25126.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
luis davis,53,india,health,basic,2473678.0,yes,2.0,"thyroid, hypertension",38342.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
james friedman,48,india,health,basic,2484469.0,yes,4.0,"thyroid, diabetes, asthma, hypertension",37267.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jennifer smith,45,india,health,basic,2048824.0,yes,2.0,"thyroid, asthma",30732.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
craig owen,31,india,health,basic,1559201.0,yes,3.0,"asthma, heart condition, diabetes",21828.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
daniel roberts,56,india,health,basic,2018214.0,no,4.0,"asthma, hypertension, heart condition, thyroid",30273.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
marissa flores,44,india,health,basic,1845906.0,yes,2.0,"thyroid, asthma",27688.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
gwendolyn oconnor,24,india,health,basic,2459721.0,yes,1.0,thyroid,33206.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
morgan finley,27,india,health,basic,1588987.0,yes,2.0,"thyroid, hypertension",22245.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
donald beck,40,india,health,basic,2043900.0,yes,1.0,asthma,29636.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
william campos,39,india,health,basic,2052766.0,no,1.0,thyroid,26685.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
mr. james sanchez,54,india,health,basic,2202632.0,no,4.0,"asthma, thyroid, heart condition, hypertension",33039.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joseph brown,46,india,health,basic,2427823.0,yes,1.0,asthma,35203.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
benjamin barnett,18,india,health,basic,2229655.0,no,1.0,hypertension,28985.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
timothy sanchez,54,india,health,basic,2413374.0,no,2.0,"heart condition, diabetes",36200.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
john walton,37,india,health,basic,2114138.0,no,3.0,"asthma, thyroid, diabetes",28540.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
max murray,45,india,health,basic,1627969.0,yes,1.0,hypertension,23605.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brett mccoy,28,india,health,basic,2128249.0,yes,2.0,"diabetes, thyroid",29795.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
colleen cook,39,india,health,basic,2197155.0,yes,3.0,"thyroid, heart condition, hypertension",30760.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
regina ferrell,33,india,health,basic,1649385.0,no,3.0,"diabetes, asthma, heart condition",22266.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
tiffany forbes,31,india,health,basic,1982440.0,no,3.0,"asthma, heart condition, diabetes",26762.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jose garcia,35,india,health,basic,2456394.0,no,4.0,"heart condition, thyroid, diabetes, hypertension",33161.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
christina vang,23,india,health,basic,2177865.0,yes,3.0,"thyroid, diabetes, heart condition",30490.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
julie jones md,49,india,health,basic,1512976.0,yes,4.0,"thyroid, asthma, diabetes, heart condition",22694.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
linda davies,22,india,health,basic,1791880.0,no,0.0,nan,17918.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
andrea lewis,20,india,health,basic,2088756.0,no,4.0,"heart condition, asthma, thyroid, hypertension",28198.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
crystal ramirez,20,india,health,basic,2161144.0,yes,1.0,heart condition,29175.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
christine petty,41,india,health,basic,2248303.0,yes,0.0,nan,25855.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
thomas greene,31,india,health,basic,1802950.0,no,2.0,"asthma, heart condition",24339.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brandon glass dds,49,india,health,basic,2123075.0,yes,3.0,"thyroid, diabetes, asthma",31846.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
caitlin jackson,59,india,health,basic,1566853.0,yes,1.0,thyroid,23502.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
david lam,22,india,health,basic,2327672.0,yes,1.0,thyroid,31423.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jasmine davis,48,india,health,basic,2082913.0,no,0.0,nan,22912.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
melissa key,53,india,health,basic,2259010.0,yes,1.0,thyroid,33885.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
carmen chung,59,india,health,basic,2217333.0,yes,1.0,diabetes,33259.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
christopher morrison,52,india,health,basic,2323691.0,yes,1.0,hypertension,34855.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
mrs. abigail lozano,54,india,health,basic,2304024.0,yes,2.0,"thyroid, diabetes",35712.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
scott brooks,29,india,health,basic,2271430.0,no,4.0,"asthma, hypertension, thyroid, diabetes",30664.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brenda valdez,43,india,health,basic,1879069.0,no,4.0,"diabetes, thyroid, heart condition, asthma",27246.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
carol sutton,32,india,health,basic,1737016.0,yes,3.0,"diabetes, hypertension, asthma",24318.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
james garcia,20,india,health,basic,2337773.0,yes,3.0,"thyroid, asthma, heart condition",32728.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
matthew cooper,52,india,health,basic,1758267.0,yes,2.0,"asthma, heart condition",27253.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kathy rogers,38,india,health,basic,1948546.0,no,4.0,"thyroid, hypertension, asthma, diabetes",26305.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
adam lutz,37,india,health,basic,2486839.0,yes,4.0,"heart condition, diabetes, asthma, thyroid",34815.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
anthony ferguson,36,india,health,basic,2365759.0,yes,2.0,"asthma, hypertension",33120.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
james garcia,58,india,health,basic,2470755.0,no,3.0,"asthma, hypertension, thyroid",37061.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
tara smith,29,india,health,basic,2060699.0,yes,1.0,thyroid,27819.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kenneth burgess,44,india,health,basic,2061662.0,yes,0.0,nan,23709.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
bruce hancock,29,india,health,basic,2144354.0,yes,2.0,"heart condition, hypertension",30020.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jim aguilar,23,india,health,basic,2132336.0,yes,3.0,"hypertension, diabetes, asthma",29852.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
lawrence atkinson,25,india,health,basic,2145171.0,no,0.0,nan,21451.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
chase gardner,58,india,health,basic,1661813.0,yes,4.0,"diabetes, thyroid, hypertension, asthma",25758.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joseph reynolds,31,india,health,basic,1643473.0,no,1.0,asthma,21365.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
rodney chaney,23,india,health,basic,2029744.0,yes,1.0,asthma,27401.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
natalie garcia,20,india,health,basic,1725826.0,yes,0.0,nan,18121.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
margaret brown,47,india,health,basic,2402644.0,yes,2.0,"asthma, heart condition",36039.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
amy macdonald,44,india,health,basic,2327553.0,no,1.0,asthma,32585.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
haley green,22,india,health,basic,1829299.0,no,1.0,hypertension,23780.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
karen mcdonald,32,india,health,basic,1794412.0,no,0.0,nan,17944.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
nicholas mata,28,india,health,basic,1552356.0,no,2.0,"hypertension, diabetes",20956.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
roberto kerr,52,india,health,basic,1766817.0,yes,4.0,"thyroid, hypertension, asthma, heart condition",27385.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
justin schwartz,20,india,health,basic,2493542.0,yes,3.0,"thyroid, asthma, diabetes",34909.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
ryan harrison phd,40,india,health,basic,2128412.0,yes,0.0,nan,24476.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joshua bryan,30,india,health,basic,2422056.0,no,0.0,nan,24220.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
stacy andrade,21,india,health,basic,2292954.0,no,0.0,nan,22929.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
amanda saunders,38,india,health,basic,2039669.0,yes,0.0,nan,21416.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kaitlyn wilson,49,india,health,basic,1659204.0,yes,0.0,nan,19080.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
rebecca norris,22,india,health,basic,1592777.0,no,3.0,"asthma, heart condition, diabetes",21502.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
matthew peterson,57,india,health,basic,1692374.0,yes,2.0,"asthma, hypertension",26231.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
nathan campbell,60,india,health,basic,1576476.0,yes,0.0,nan,18917.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
melanie lee,23,india,health,basic,1932047.0,yes,2.0,"heart condition, hypertension",27048.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alison barnes,27,india,health,basic,1840234.0,yes,0.0,nan,19322.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
james rocha,29,india,health,basic,1531531.0,no,3.0,"thyroid, asthma, diabetes",20675.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
andrew herman,56,india,health,basic,2317319.0,no,4.0,"heart condition, hypertension, asthma, thyroid",34759.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
melissa myers,39,india,health,basic,2160678.0,yes,0.0,nan,22687.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
david gordon,18,india,health,basic,2335508.0,yes,2.0,"heart condition, asthma",32697.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
rebecca ford,56,india,health,basic,1658025.0,no,3.0,"thyroid, asthma, hypertension",24870.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
michele williams,19,india,health,basic,1577508.0,no,1.0,thyroid,20507.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
robert miller,18,india,health,basic,2267726.0,yes,3.0,"hypertension, diabetes, thyroid",31748.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
stacey long,31,india,health,basic,1629645.0,yes,1.0,thyroid,22000.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alexis riley,24,india,health,basic,2400948.0,no,2.0,"hypertension, diabetes",32412.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
christopher moore,46,india,health,basic,2098834.0,yes,1.0,heart condition,30433.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
peter miller,47,india,health,basic,2223225.0,yes,3.0,"hypertension, diabetes, asthma",33348.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
evelyn pierce,20,india,health,basic,2311560.0,yes,2.0,"heart condition, hypertension",32361.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
robin paul,51,india,health,basic,2061075.0,no,0.0,nan,23702.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
andrew ashley,56,india,health,basic,2180490.0,no,1.0,asthma,31617.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
gregory blankenship,38,india,health,basic,2041344.0,yes,4.0,"asthma, hypertension, diabetes, heart condition",28578.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
beverly brock,22,india,health,basic,2454757.0,yes,0.0,nan,25774.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
wendy sanchez,55,india,health,basic,2230333.0,no,2.0,"asthma, hypertension",33454.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alicia turner,19,india,health,basic,1675127.0,no,0.0,nan,16751.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
mark moody,49,india,health,basic,2302479.0,yes,2.0,"heart condition, thyroid",34537.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
christopher perkins,44,india,health,basic,1807189.0,no,3.0,"thyroid, diabetes, heart condition",26204.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
taylor zuniga,45,india,health,basic,1901530.0,no,2.0,"heart condition, diabetes",27572.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
angel thompson,60,india,health,basic,2027497.0,yes,3.0,"hypertension, thyroid, heart condition",31426.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
cynthia martinez,57,india,health,basic,1567857.0,yes,3.0,"asthma, heart condition, thyroid",24301.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
sarah wright,22,india,health,basic,2334031.0,no,4.0,"heart condition, asthma, thyroid, diabetes",31509.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alyssa kane,60,india,health,basic,2364279.0,no,3.0,"thyroid, hypertension, asthma",35464.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jason miller,51,india,health,basic,1815318.0,yes,3.0,"diabetes, hypertension, asthma",28137.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
michelle king,54,india,health,basic,2348285.0,no,2.0,"hypertension, thyroid",35224.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jesse green,56,india,health,basic,2367648.0,no,4.0,"diabetes, heart condition, hypertension, thyroid",35514.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
erik montoya,30,india,health,basic,2090532.0,no,2.0,"heart condition, thyroid",28222.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
laura caldwell,44,india,health,basic,1525159.0,no,3.0,"heart condition, hypertension, asthma",22114.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
wendy shaw,25,india,health,basic,2135296.0,yes,1.0,heart condition,28826.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
john kelley,50,india,health,basic,1654923.0,no,0.0,nan,18204.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
pamela vasquez,39,india,health,basic,1926811.0,no,4.0,"diabetes, heart condition, asthma, hypertension",26011.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kelly lucas,52,india,health,basic,2224556.0,no,0.0,nan,25582.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
james kelley,26,india,health,basic,2267844.0,no,1.0,hypertension,29481.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
daniel wright,33,india,health,basic,2290955.0,no,3.0,"heart condition, asthma, diabetes",30927.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
angel jordan,48,india,health,basic,2127235.0,yes,1.0,asthma,30844.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
katelyn lee,50,india,health,basic,2257318.0,yes,4.0,"asthma, hypertension, heart condition, diabetes",33859.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brittany savage,52,india,health,basic,2265796.0,no,2.0,"thyroid, heart condition",33986.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jack barrett,45,india,health,basic,2056003.0,no,1.0,heart condition,28784.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
rebecca thomas,20,india,health,basic,1726092.0,yes,4.0,"thyroid, heart condition, hypertension, asthma",24165.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
andrew copeland,53,india,health,basic,2054965.0,yes,3.0,"asthma, thyroid, heart condition",31851.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
melissa chaney,39,india,health,basic,2095427.0,no,2.0,"heart condition, thyroid",28288.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brian schmitt,56,india,health,basic,1686106.0,no,1.0,thyroid,24448.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
andrea anderson,60,india,health,basic,2201394.0,yes,0.0,nan,26416.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
molly burgess,56,india,health,basic,2253738.0,yes,2.0,"asthma, hypertension",34932.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
katie curry,35,india,health,basic,2148180.0,no,2.0,"hypertension, asthma",29000.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
erica murphy,47,india,health,basic,2289687.0,no,3.0,"diabetes, asthma, hypertension",33200.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
cynthia smith,35,india,health,basic,1936857.0,yes,3.0,"diabetes, asthma, thyroid",27115.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joanne chen,27,india,health,basic,1986690.0,yes,0.0,nan,20860.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brandi chapman,42,india,health,basic,1692042.0,yes,0.0,nan,19458.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jerry sanchez,51,india,health,basic,2131939.0,no,3.0,"asthma, thyroid, diabetes",31979.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alisha gutierrez,26,india,health,basic,1503280.0,yes,1.0,asthma,20294.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kevin jones jr.,51,india,health,basic,1816025.0,no,1.0,asthma,26332.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
terry barrett,36,india,health,basic,1986619.0,no,2.0,"thyroid, heart condition",26819.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
luis lewis md,47,india,health,basic,1834936.0,no,2.0,"asthma, diabetes",26606.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alexander green,25,india,health,basic,1682972.0,no,0.0,nan,16829.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
bobby luna,47,india,health,basic,2244568.0,yes,0.0,nan,25812.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joseph townsend,38,india,health,basic,1855914.0,yes,2.0,"thyroid, hypertension",25982.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
lisa cruz,39,india,health,basic,1964049.0,no,1.0,heart condition,25532.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
david gutierrez,34,india,health,basic,2237272.0,no,1.0,asthma,29084.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
amy nelson,31,india,health,basic,1747151.0,no,0.0,nan,17471.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jake friedman,25,india,health,basic,1500986.0,no,0.0,nan,15009.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
crystal baird,36,india,health,basic,2360953.0,yes,4.0,"thyroid, diabetes, asthma, heart condition",33053.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
maurice mueller,45,india,health,basic,1771541.0,no,2.0,"thyroid, diabetes",25687.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
tara adams,38,india,health,basic,2383832.0,yes,4.0,"hypertension, thyroid, asthma, heart condition",33373.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
megan phillips dds,19,india,health,basic,1555384.0,no,0.0,nan,15553.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
elizabeth lopez,53,india,health,basic,2142829.0,yes,2.0,"thyroid, heart condition",33213.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
william reynolds,54,india,health,basic,1952194.0,yes,0.0,nan,23426.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
